epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5725.02,1.18914,0.63401,0.91812,0.8171,0.64467,0.74042,0.45465,1.18417,0.61477,0.9111,0.005842,0.005842,0.005842
44,5935.15,1.18598,0.6262,0.91837,0.8155,0.64702,0.74546,0.45705,1.17789,0.616,0.90742,0.005743,0.005743,0.005743
45,6143.45,1.17587,0.62309,0.91563,0.81845,0.64555,0.74531,0.45724,1.17845,0.61651,0.90639,0.005644,0.005644,0.005644
46,6353.56,1.17306,0.62345,0.91717,0.81635,0.64333,0.74462,0.45807,1.17714,0.61265,0.9083,0.005545,0.005545,0.005545
47,6563.48,1.18498,0.62567,0.91724,0.81028,0.65276,0.74676,0.45759,1.18432,0.61178,0.90798,0.005446,0.005446,0.005446
48,6774.63,1.16837,0.61908,0.91362,0.81343,0.64759,0.7452,0.45783,1.17746,0.61178,0.90647,0.005347,0.005347,0.005347
49,6984.12,1.16663,0.61731,0.91371,0.82123,0.64966,0.74831,0.45832,1.17783,0.60909,0.90672,0.005248,0.005248,0.005248
50,7194.35,1.16541,0.61489,0.91213,0.81916,0.64813,0.74739,0.45936,1.17344,0.60625,0.90611,0.005149,0.005149,0.005149
51,7403.63,1.1712,0.61389,0.9149,0.82168,0.64878,0.7485,0.46124,1.16959,0.60655,0.90427,0.00505,0.00505,0.00505
52,7613.34,1.16129,0.61174,0.91114,0.81772,0.64991,0.74702,0.45838,1.18052,0.60884,0.9063,0.004951,0.004951,0.004951
53,7822.24,1.17207,0.61257,0.91242,0.81214,0.6566,0.75104,0.46191,1.16731,0.60459,0.90434,0.004852,0.004852,0.004852
54,8031.73,1.15542,0.6089,0.91092,0.81917,0.65043,0.75045,0.46162,1.17086,0.60204,0.90496,0.004753,0.004753,0.004753
55,8241.69,1.15203,0.60538,0.90747,0.8207,0.64945,0.74875,0.46324,1.16471,0.60158,0.90473,0.004654,0.004654,0.004654
56,8451.28,1.15111,0.60402,0.90923,0.81966,0.65233,0.75082,0.46267,1.17054,0.59993,0.9051,0.004555,0.004555,0.004555
57,8660.3,1.14683,0.6012,0.90853,0.81852,0.65283,0.75054,0.46232,1.17203,0.59927,0.90602,0.004456,0.004456,0.004456
58,8869.88,1.15733,0.60654,0.90943,0.81549,0.65203,0.75024,0.46146,1.17553,0.60097,0.90623,0.004357,0.004357,0.004357
59,9080.72,1.15386,0.60378,0.90738,0.81533,0.65414,0.75276,0.46275,1.17243,0.60127,0.90467,0.004258,0.004258,0.004258
60,9290.07,1.13988,0.59339,0.90431,0.81728,0.65698,0.75454,0.46593,1.16388,0.59636,0.90377,0.004159,0.004159,0.004159
61,9499.42,1.14306,0.59371,0.9078,0.82802,0.64813,0.7518,0.46327,1.17285,0.5984,0.90505,0.00406,0.00406,0.00406
62,9709.5,1.13951,0.5915,0.90697,0.8239,0.65532,0.75291,0.46371,1.17162,0.59722,0.90477,0.003961,0.003961,0.003961
63,9917.42,1.13469,0.58995,0.90546,0.81974,0.65773,0.7553,0.46597,1.16843,0.59646,0.90412,0.003862,0.003862,0.003862
64,10126.9,1.13746,0.58939,0.90637,0.82326,0.6542,0.75341,0.46544,1.16843,0.59524,0.90341,0.003763,0.003763,0.003763
65,10336.3,1.13772,0.58698,0.90509,0.81928,0.6551,0.7529,0.46469,1.17005,0.59754,0.90467,0.003664,0.003664,0.003664
66,10545.8,1.13823,0.58805,0.90545,0.8213,0.6555,0.75493,0.46454,1.17234,0.59536,0.90477,0.003565,0.003565,0.003565
67,10756.1,1.13414,0.5855,0.90403,0.82264,0.65482,0.75484,0.4648,1.17447,0.59615,0.90411,0.003466,0.003466,0.003466
68,10966,1.13217,0.58338,0.90338,0.82231,0.65357,0.75419,0.4643,1.17512,0.59483,0.90496,0.003367,0.003367,0.003367
69,11175.7,1.13122,0.5828,0.90101,0.81932,0.65771,0.75587,0.46574,1.1696,0.59236,0.90368,0.003268,0.003268,0.003268
